lib,n,length,api_bytes,api_bytes_per_elem,rss_delta_bytes,rss_delta_per_elem,dtype_repr,storage_repr
pandas_object,200000,5,12400132,62.00066,1736704,8.68352,object,
pandas_default,200000,5,12400132,62.00066,1638400,8.192,str,python
pandas_category,200000,5,12961804,64.80902,5619712,28.09856,category,
polars,200000,5,1000000,5.0,4718592,23.59296,String,
pandas_object,200000,10,13400132,67.00066,1736704,8.68352,object,
pandas_default,200000,10,13400132,67.00066,1507328,7.53664,str,python
pandas_category,200000,10,13942584,69.71292,5685248,28.42624,category,
polars,200000,10,2000000,10.0,4587520,22.9376,String,
pandas_object,200000,20,15400132,77.00066,1736704,8.68352,object,
pandas_default,200000,20,15400132,77.00066,1507328,7.53664,str,python
pandas_category,200000,20,15904144,79.52072,5664768,28.32384,category,
polars,200000,20,4000000,20.0,8802304,44.01152,String,
pandas_object,200000,50,21400132,107.00066,1736704,8.68352,object,
pandas_default,200000,50,21400132,107.00066,1433600,7.168,str,python
pandas_category,200000,50,21788824,108.94412,5758976,28.79488,category,
polars,200000,50,10000000,50.0,14864384,74.32192,String,
pandas_object,200000,100,31400132,157.00066,1732608,8.66304,object,
pandas_default,200000,100,31400132,157.00066,1507328,7.53664,str,python
pandas_category,200000,100,31596624,157.98312,5681152,28.40576,category,
polars,200000,100,20000000,100.0,24875008,124.37504,String,
pandas_object,200000,200,51400132,257.00066,1736704,8.68352,object,
pandas_default,200000,200,51400132,257.00066,1511424,7.55712,str,python
pandas_category,200000,200,51212224,256.06112,5570560,27.8528,category,
polars,200000,200,40000000,200.0,44900352,224.50176,String,
