lib,n,reps,threads,median_sec,min_sec,max_sec
pandas,5000,7,,0.0007227063179016113,0.0006734132766723633,0.0020206100307404995
polars,5000,7,,0.0005026413127779961,0.00023029977455735207,0.00367283308878541
pandas,20000,7,,0.003749213181436062,0.003550449851900339,0.005760723724961281
polars,20000,7,,0.0005956152454018593,0.00043130898848176,0.0039430721662938595
pandas,50000,7,,0.011489137075841427,0.011225026100873947,0.011627491097897291
polars,50000,7,,0.0005798302590847015,0.00045861396938562393,0.003806869965046644
pandas,200000,7,,0.04473148472607136,0.044152561109513044,0.0618347548879683
polars,200000,7,,0.0005855020135641098,0.0005591576918959618,0.0038837697356939316
pandas,500000,7,,0.11046625580638647,0.10776753816753626,0.11585161089897156
polars,500000,7,,0.0005949921905994415,0.0005343379452824593,0.0031302152201533318
polars_1thread,500000,7,1,0.00035025179386138916,0.0003021908923983574,0.001398908905684948
