lib,n,reps,n_chunks,median_sec,min_sec,max_sec
pandas,5000,7,,4.523899406194687e-05,4.139496013522148e-05,5.748169496655464e-05
polars_single_chunk,5000,7,1,1.7315149307250977e-05,1.3053882867097855e-05,8.211284875869751e-05
polars_multi_chunk,5000,7,10,5.949009209871292e-05,3.537070006132126e-05,0.00014206208288669586
polars_nulls,5000,7,1,3.2559968531131744e-05,3.099115565419197e-05,0.0002492177300155163
pandas,20000,7,,3.8321129977703094e-05,3.427686169743538e-05,4.767812788486481e-05
polars_single_chunk,20000,7,1,6.20400533080101e-06,5.493871867656708e-06,5.74490986764431e-05
polars_multi_chunk,20000,7,10,7.286481559276581e-05,6.462680175900459e-05,0.00018443819135427475
polars_nulls,20000,7,1,9.909318760037422e-05,9.110663086175919e-05,0.0003305980935692787
pandas,50000,7,,3.322400152683258e-05,3.204401582479477e-05,4.39411960542202e-05
polars_single_chunk,50000,7,1,7.955357432365417e-06,6.010290235280991e-06,5.605490878224373e-05
polars_multi_chunk,50000,7,10,0.00010503921657800674,5.85741363465786e-05,0.0002793329767882824
polars_nulls,50000,7,1,0.00020274613052606583,0.00020190607756376266,0.0005418108776211739
pandas,200000,7,,3.516394644975662e-05,3.0464958399534225e-05,4.4341664761304855e-05
polars_single_chunk,200000,7,1,8.745118975639343e-06,6.5462663769721985e-06,5.66970556974411e-05
polars_multi_chunk,200000,7,10,0.00018319673836231232,0.00015440816059708595,0.0007472378201782703
polars_nulls,200000,7,1,0.0007919343188405037,0.0007650479674339294,0.0015212679281830788
pandas,500000,7,,3.536185249686241e-05,3.2419804483652115e-05,4.23346646130085e-05
polars_single_chunk,500000,7,1,1.7918646335601807e-05,1.697894185781479e-05,8.295290172100067e-05
polars_multi_chunk,500000,7,10,0.0009495657868683338,0.0009324108250439167,0.0019660410471260548
polars_nulls,500000,7,1,0.0011328835971653461,0.001110123936086893,0.002089133020490408
