cols,use_pyarrow_ext,n,length,reps,median_sec,min_sec,max_sec
numeric,False,5000,20,7,0.0005841157399117947,0.0003997241146862507,0.12592236464843154
numeric,True,5000,20,7,0.00036405911669135094,0.00032057007774710655,0.10705173714086413
string,False,5000,20,7,0.00042257877066731453,0.0003689131699502468,0.10294066183269024
string,True,5000,20,7,0.0003685327246785164,0.0003533759154379368,0.10592485405504704
numeric,False,20000,20,7,0.0008180877193808556,0.0007107299752533436,0.18299430469051003
numeric,True,20000,20,7,0.00034738192334771156,0.0003292076289653778,0.09769364399835467
string,False,20000,20,7,0.0006789886392652988,0.0006384500302374363,0.10041583981364965
string,True,20000,20,7,0.00045864004641771317,0.0004357541911303997,0.1338282348588109
numeric,False,50000,20,7,0.0006630327552556992,0.0005435221828520298,0.16473040310665965
numeric,True,50000,20,7,0.0003427439369261265,0.0003115902654826641,0.14011764293536544
string,False,50000,20,7,0.000564143992960453,0.0005101757124066353,0.10300241876393557
string,True,50000,20,7,0.0005214130505919456,0.0005031051114201546,0.10435260785743594
numeric,False,200000,20,7,0.0007355841808021069,0.0006997920572757721,0.10332394018769264
numeric,True,200000,20,7,0.0003821481950581074,0.0003356938250362873,0.10307949595153332
string,False,200000,20,7,0.00113972881808877,0.001080330926924944,0.10360269295051694
string,True,200000,20,7,0.0009289085865020752,0.0009198240004479885,0.10311787901446223
numeric,False,500000,20,7,0.0013971677981317043,0.0012334398925304413,0.11168457800522447
numeric,True,500000,20,7,0.00044156285002827644,0.000369019340723753,0.11001286190003157
string,False,500000,20,7,0.004285998642444611,0.0019021499902009964,0.10692153498530388
string,True,500000,20,7,0.0031548310071229935,0.00179245974868536,0.10618645325303078
