condition,rep,rows,n_groups,chunksize,elapsed_sec,peak_rss_bytes,n_result_rows,total_sum,total_count
pandas_full,0,100000000,200,2000000,20.32154909009114,4077563904,200,4999842284.159016,100000000
pandas_full,1,100000000,200,2000000,20.292717328760773,4077223936,200,4999842284.159016,100000000
pandas_full,2,100000000,200,2000000,20.39989525778219,4076916736,200,4999842284.159016,100000000
pandas_chunked,0,100000000,200,2000000,17.289400901645422,258371584,200,4999842284.159016,100000000
pandas_chunked,1,100000000,200,2000000,17.992808321025223,258203648,200,4999842284.159016,100000000
pandas_chunked,2,100000000,200,2000000,17.125532785896212,257085440,200,4999842284.159016,100000000
polars_eager,0,100000000,200,2000000,3.879325850866735,9326936064,200,4999842284.159016,100000000
polars_eager,1,100000000,200,2000000,4.259068996179849,9364783104,200,4999842284.159016,100000000
polars_eager,2,100000000,200,2000000,4.2148641352541745,9361682432,200,4999842284.159016,100000000
polars_streaming,0,100000000,200,2000000,1.7425431567244232,3517874176,200,4999842284.159016,100000000
polars_streaming,1,100000000,200,2000000,1.1570096472278237,3539664896,200,4999842284.159015,100000000
polars_streaming,2,100000000,200,2000000,1.7874711290933192,3517501440,200,4999842284.159016,100000000
